,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
0,767042,Titilagarh_Saragiguda_DPP (Orissa),Titilagarh_Saragiguda_DPP (Orissa),Titilagarh_Saragiguda_DPP (Orissa),Titilagarh,Orissa,TRUE
1,680309,Aluva_Peedika_H (Kerala),Aluva_Peedika_H (Kerala),Aluva_Peedika_H (Kerala),Aluva,Kerala,TRUE
2,606112,Pennadam_Puthar_D (Tamil Nadu),Pennadam_Puthar_D (Tamil Nadu),Pennadam_Puthar_D (Tamil Nadu),Pennadam,Tamil Nadu,FALSE
3,283124,Kheragarh_KagarolRoad_D (Uttar Pradesh),Kheragarh_KagarolRoad_D (Uttar Pradesh),Kheragarh_KagarolRoad_D (Uttar Pradesh),Kheragarh,Uttar Pradesh,TRUE
4,531084,Narsipatnam_Sivapuram_D (Andhra Pradesh),Narsipatnam_Sivapuram_D (Andhra Pradesh),Narsipatnam_Sivapuram_D (Andhra Pradesh),Narsipatnam,Andhra Pradesh,TRUE
5,721170,Kolaghat_GopalNgr_DPP (West Bengal),Kolaghat_GopalNgr_DPP (West Bengal),Kolaghat_GopalNgr_DPP (West Bengal),Kolaghat,West Bengal,FALSE
6,788165,Lalapur_Katlicherra_D (Assam),Lalapur_Katlicherra_D (Assam),Lalapur_Katlicherra_D (Assam),Lalapur,Assam,FALSE
7,628203,Tiruchendur_PakyaNagar_D (Tamil Nadu),Tiruchendur_PakyaNagar_D (Tamil Nadu),Tiruchendur_PakyaNagar_D (Tamil Nadu),Tiruchendur,Tamil Nadu,TRUE
8,415708,Khed_BharanaNaka_D (Maharashtra),Khed_BharanaNaka_D (Maharashtra),Khed_BharanaNaka_D (Maharashtra),Khed,Maharashtra,TRUE
9,741221,Naihati_Kalyani_DPP (West Bengal),Naihati_Kalyani_DPP (West Bengal),Naihati_Kalyani_DPP (West Bengal),Kalyani,West Bengal,TRUE
10,360470,Upleta_KolkiRd_DPP (Gujarat),Upleta_KolkiRd_DPP (Gujarat),Upleta_KolkiRd_DPP (Gujarat),Upleta,Gujarat,TRUE
11,281122,Mathura_SuryaNagar_D (Uttar Pradesh),Mathura_SuryaNagar_D (Uttar Pradesh),Mathura_SuryaNagar_D (Uttar Pradesh),Mathura,Uttar Pradesh,FALSE
12,360011,Rajkot_Amargadh_H (Gujarat),Rajkot_Amargadh_H (Gujarat),Rajkot_Amargadh_H (Gujarat),Rajkot,Gujarat,TRUE
13,415504,Koregaon_KedareshwarRd_D (Maharashtra),Koregaon_KedareshwarRd_D (Maharashtra),Koregaon_KedareshwarRd_D (Maharashtra),Koregaon,Maharashtra,FALSE
14,581363,Dandeli_MarutiNgr_DPP (Karnataka),Dandeli_MarutiNgr_DPP (Karnataka),Dandeli_MarutiNgr_DPP (Karnataka),Dandeli,Karnataka,FALSE
15,630302,Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi,Tamil Nadu,TRUE
16,573132,Hassan_Nagathavalli_I (Karnataka),Hassan_Nagathavalli_I (Karnataka),Hassan_Nagathavalli_I (Karnataka),Hassan,Karnataka,FALSE
