Sr No,Date,AWB No,Invoice Value,From Location,Destination,To Location,Value (Rs),Pieces,Weight (kg),Mode,Amount (Rs)
1,08-12-2025,293989185,4099,625531,Chennai,600095,10000,1,11,SFC,450
2,08-12-2025,293989565,541,201306,Ajmer,305022,36750,1,14,SFC,450
3,08-12-2025,293995533,4110,560060,Puttur,574201,10000,1,7,SFC,450
4,08-12-2025,293996340,4108,,Erode,638006,10000,1,20,SFC,450
5,08-12-2025,10957810012331,4107,560060,Dakshina,574214,10000,1,12,ODA,1050
6,08-12-2025,293998673,4106,600095,Dindigul,624002,10000,1,14,SFC,450
7,08-12-2025,293999016,4105,600095,Trichy,620005,10000,1,11,SFC,450
8,08-12-2025,293999270,4104,560060,Thiruvananthapuram,695018,10000,1,20,SFC,450
9,08-12-2025,294000098,4103,560060,Peruva,686610,10000,1,20,ODA,1050
10,08-12-2025,294000358,4102,560060,Mangalore,575001,10000,1,18,SFC,450
11,08-12-2025,294000780,4101,560060,Ernakulam,683503,10000,1,7,SFC,450
12,08-12-2025,10957810012353,4100,560060,Karunagappalli,690518,10000,1,11,ODA,1050
13,08-12-2025,10957810012364,4112,560060,zirakpur,140603,10000,1,2.3,SFC,180
14,08-12-2025,294005033,4111,560060,Nellore,524003,10000,1,11,SFC,450
15,08-12-2025,294006149,4113,844124,vaishali PUNE,411045,1000,1,111,SFC,1887
16,08-12-2025,294014454,4115,686691,Bangalore,560060,10000,1,46,SFC,644
17,09-12-2025,294029713,4118,680303,Bangalore,560060,10000,1,11,SFC,450
18,09-12-2025,294079517,4117,,Bangalore,560060,10000,1,7,SFC,450
19,09-12-2025,294030438,543,201306,Dinajpur W B,733101,47250,1,40,ODA,1240
20,09-12-2025,294034944,4124,243001,Noida,201306,10000,1,14,SFC,450
21,09-12-2025,294035599,4123,515001,Bangalore,560060,10000,1,7,SFC,450
22,09-12-2025,294036080,4122,560060,tiruchengode,637211,10000,1,20,SFC,450
23,09-12-2025,294036564,4121,226020,Noida,201306,10000,1,7,SFC,450
24,09-12-2025,294037943,4125,768032,Odisa pune,411045,10000,2,178,SFC,2848
25,09-12-2025,294038789,4126,854301,Bihar Noida,201306,12000,6,66,SFC,1056
26,09-12-2025,294040724,4119,492009,Pune,411045,10000,1,20,SFC,450
27,09-12-2025,294051003,4131,411045,Manathvady,670645,10000,1,30,ODA,1050
28,09-12-2025,294052282,4130,600095,Coimbatore,641011,10000,1,45,SFC,720
29,10-12-2025,294075912,4129,638002,Bangalore,560060,10000,1,20,SFC,450
30,10-12-2025,294076328,4134,273303,Maharajganj UP PUNE,411045,20000,1,117,SFC,1872
31,10-12-2025,294077043,4135,686143,Bangalore,560060,10000,1,7,SFC,450
32,09-12-2025,294077844,4136,638183,Chennai,600095,10000,1,11,SFC,450
33,10-12-2025,294078306,4137,560060,Mannamkonam,695125,10000,1,11,SFC,450
34,10-12-2025,294083133,4155,560060,Kozhikode,673572,10000,1,20,SFC,450
35,10-12-2025,10957810012445,4154,600095,Tiruppur,641664,10000,1,7,SFC,450
36,10-12-2025,294084960,4152,143112,Noida,201306,10000,1,30,SFC,450
37,10-12-2025,294085350,4150,560060,CHITRADURGA,,10000,1,7,SFC,450
38,10-12-2025,294086277,4149,560060,Udupi,576102,10000,1,7,SFC,450
39,10-12-2025,294086585,4148,560060,Nellore,524003,10000,1,7,SFC,450
40,10-12-2025,294087047,4147,560060,Puttur,574201,10000,1,7,SFC,450
41,10-12-2025,294087306,4146,576201,Bangalore,560060,10000,1,7,SFC,450
42,10-12-2025,294087611,4145,560060,Ernakulam,683503,10000,1,53,SFC,848
43,10-12-2025,294087928,4144,560060,Kannur,670007,10000,1,7,SFC,450
44,10-12-2025,294089227,4143,560060,Trivandrum,695582,10000,1,63,SFC,1008
45,10-12-2025,294089566,4142,560060,Kattakkada,695572,10000,1,7,SFC,450
46,10-12-2025,294089935,4141,673017,Bangalore,560060,10000,1,14,SFC,450
47,10-12-2025,294090768,4140,680308,Bangalore,560060,10000,1,14,SFC,450
48,10-12-2025,294092109,4139,673601,Bangalore,560060,10000,1,11,SFC,450
49,10-12-2025,294092900,549,201306,Salimpur,803202,42000,1,41,ODA,1502
50,10-12-2025,294094087,550,201306,Cuttack,753004,21000,1,30,ODA,1050
51,10-12-2025,10957810012456,4120,683503,Bangalore,560060,1000,1,9,SFC,450
52,11-12-2025,294121790,4163,560060,Visakhapatnam,530026,10000,1,45,SFC,630
53,11-12-2025,294125283,4157,248001,Noida,201306,10000,1,20,SFC,450
54,11-12-2025,294126323,4158,140603,NOida,201306,10000,1,7,SFC,450
55,11-12-2025,294127132,4159,173211,Noida,201306,10000,1,14,SFC,450
56,11-12-2025,294129364,4167,425422,PUNE,411045,10000,1,62,SFC,992
57,11-12-2025,294155236,4166,411045,PUNE,431501,10000,1,7,SFC,450
58,11-12-2025,294131623,4165,560060,Kasaragod,671121,10000,1,11,SFC,450
59,11-12-2025,10957810012493,4164,560060,Ernakulam,682305,10000,1,7,ODA,1050
60,11-12-2025,10957810012504,4161,560060,Moodbidri,574227,10000,1,7,ODA,1050
61,11-12-2025,294134250,4160,683503,Bangalore,560060,10000,1,18,SFC,450
62,11-12-2025,294134625,4172,560060,Puthencruz,682308,10000,1,20,ODA,1050
63,11-12-2025,294137000,4174,524003,Bangalore,560060,10000,1,14,SFC,450
64,11-12-2025,294140678,4162,560060,Alappuzha,688005,10000,2,30,SFC,450
65,11-12-2025,294144210,WEPL/2526/5554,#N/A,Ambedkar,#N/A,10000,1,20,SFC,450
66,11-12-2025,294155044,4176,411045,Thiruvananthapuram,695607,10000,1,40,ODA,1280
67,12-12-2025,294172877,4175,125001,Rajasthan PNQ,411045,10000,1,149,SFC,2100
68,12-12-2025,294173133,4179,683503,Bangalore,560060,10000,1,36,SFC,576
69,12-12-2025,294173785,4178,245205,Hapur PNQ,411045,10000,2,254,SFC,4064
70,12-12-2025,294174263,4181,263139,Noida,201306,10000,3,40,SFC,520
71,12-12-2025,294174532,4183,800002,Patna noida,201306,10000,1,11,SFC,500
72,12-12-2025,294174711,4188,560060,Kochi,682024,10000,1,11,SFC,500
73,12-12-2025,294174938,4187,560060,Kozhikode,673032,10000,1,7,SFC,450
74,12-12-2025,294175147,4186,560060,Punnapra,688004,10000,1,7,SFC,450
75,12-12-2025,294176121,4189,560060,Thrissur,,10000,1,15,SFC,450
76,12-12-2025,294176863,4190,,NOida,201306,10000,1,30,SFC,450
77,12-12-2025,294177542,4191,560060,Kanakapura,562119,10000,1,44,ODA,1304
78,12-12-2025,294178552,4193,411045,Bijepur Odisa,768032,10000,1,80,ODA,1880
79,12-12-2025,294180529,4192,500015,Karimnagar,505001,10000,1,7,SFC,450
80,12-12-2025,294181199,4185,600095,Gangapur,322201,218925,3,411,SFC,6957
81,12-12-2025,294182198,4194,574104,Bangalore,560060,10000,1,7,SFC,450
82,12-12-2025,294182671,4184,600095,Madhopur,322027,218925,3,411,ODA,8220
83,12-12-2025,294184805,4195,411045,Shahada,425422,10000,1,137,ODA,2655
84,12-12-2025,294218893,4196,530013,Bangalore,560060,1000,1,11,SFC,450
85,13-12-2025,294219390,4200,641302,Chennai,600095,10000,1,7,SFC,450
86,13-12-2025,294220027,4200,641302,Pune,600095,10000,1,197,SFC,3152
87,13-12-2025,294220336,4201,600095,Namakkal,638183,10000,1,12,SFC,450
88,13-12-2025,10957810012622,B2C,#N/A,PARTUR,#N/A,10000,1,10,ODA,1150
89,13-12-2025,10957810012655,4202,560060,Alappuzha,534260,10000,1,11,SFC,450
90,13-12-2025,294221774,4203,560060,Alappuzha,688001,1000,1,10,SFC,450
91,13-12-2025,294222566,4205,411045,Salem,,10000,1,128,SFC,2176
92,13-12-2025,294224104,4207,641654,Bangalore,560060,10000,1,44,SFC,616
93,13-12-2025,294225230,4209,638001,Bangalore,560060,1000,1,36,SFC,504
94,13-12-2025,294226034,565,201306,PUNE,411045,49350,4,405,SFC,6480
95,13-12-2025,294227844,4210,683572,Bangalore,560060,10000,1,12,SFC,450
