pincode,city,state,global_cargo_region,is_oda,deliverable,safexpress_is_oda,bluedart_region
333041,Jhunjhunu,Rajasthan,N2,0,1,,NORTH
689625,Pathanamthitta,Kerala,S3,0,1,,SOUTH
623560,Kotdwara,Uttarakhand,N2,0,1,0,NORTH
229502,Unnao,Uttar Pradesh,N2,0,1,,NORTH
695506,Thiruvananthapuram,Kerala,S3,1,1,,SOUTH
743387,Baruipur,West Bengal,E2,1,1,,EAST
248158,Chakrata,Uttarakhand,N2,0,1,0,NORTH
122414,Gurgaon,Haryana,N1,0,1,,NORTH
505476,Huzurabad,Telangana,S2,0,1,,SOUTH
767001,Balangir,Orissa,E2,0,1,,EAST
585417,Aurad,Karnataka,S2,0,1,,SOUTH
632312,Vellore,Tamil Nadu,S2,1,1,,SOUTH
678009,Palakkad,Kerala,S3,0,1,,SOUTH
756110,Bhadrak,Orissa,E2,0,1,,EAST
343025,Jalore,Rajasthan,N2,1,1,,NORTH
396108,Vapi,Gujarat,,1,1,0,WEST
722162,Khatra,West Bengal,E2,1,1,,EAST
695528,Thiruvananthapuram,Kerala,S3,1,1,,SOUTH
485115,Satna,Madhya Pradesh,C2,0,1,,WEST
721128,Midnapore,West Bengal,E2,1,1,,EAST
623518,Rameswaram,Tamil Nadu,S2,1,1,,SOUTH
224116,Rudauli,Uttar Pradesh,N2,1,1,,NORTH
581308,Karwar,Karnataka,S2,1,1,,SOUTH
600098,Chennai,Tamil Nadu,S1,0,1,0,SOUTH
272181,Itava,Uttar Pradesh,N2,1,1,,NORTH
472331,Jatara,Madhya Pradesh,C2,0,1,,WEST
440031,Nagpur,Maharashtra,C1,0,1,0,WEST
246149,Kotdwara,Uttarakhand,N2,1,1,,NORTH
403530,Goa,Goa,W2,0,1,,WEST
243002,Bareilly,Uttar Pradesh,N2,0,1,0,NORTH
396235,Vapi,Gujarat,,1,1,0,WEST
431508,Mantha,Maharashtra,W2,0,1,,WEST
788101,Pailapool,Assam,NE2,1,1,,
160002,Chandigarh,Chandigarh,N2,0,1,0,
412305,Nira,Maharashtra,W2,0,1,,WEST
804453,Patna,Bihar,E1,1,1,,EAST
271304,Ayodhya,Uttar Pradesh,N2,1,1,,NORTH
344027,Kalyanpur-RJ,Rajasthan,N2,1,1,,NORTH
451447,Barwani,Madhya Pradesh,C2,1,1,,WEST
152028,Moga,Punjab,N2,0,1,,NORTH
626133,Rajapalayam,Tamil Nadu,S2,1,1,,SOUTH
643270,Gudalur,Tamil Nadu,S2,1,1,,SOUTH
394720,Ahwa,Gujarat,,1,1,,WEST
391770,Vadodara,Gujarat,,0,1,0,WEST
521227,Vissannapetaa,Andhra Pradesh,S2,0,1,,SOUTH
246001,Pauri,Uttarakhand,N2,0,1,,NORTH
764048,Malkangiri,Orissa,E2,0,1,,EAST
628904,Vilathikulam,Tamil Nadu,S2,1,1,,SOUTH
495691,Dabhra,Chhattisgarh,C2,0,1,,WEST
722153,Mejia,West Bengal,E2,0,1,,EAST
227806,Kumarganj,Uttar Pradesh,N2,1,1,,NORTH
331025,Jhunjhunu,Rajasthan,N2,0,1,,NORTH
243633,Budaun,Uttar Pradesh,N2,1,1,,NORTH
245401,Siyana,Uttar Pradesh,N2,0,1,,NORTH
415525,Wai,Maharashtra,W2,0,1,,WEST
636807,Dharmapuri,Tamil Nadu,S2,1,1,,SOUTH
855107,Kishanganj,Bihar,E2,0,1,,EAST
743195,Kalyani,West Bengal,E2,1,1,0,EAST
670662,Kannur,Kerala,S3,0,1,,SOUTH
581196,Hubli,Karnataka,S2,1,1,,SOUTH
382013,Ahmedabad,Gujarat,,0,1,0,WEST
221717,Ballia,Uttar Pradesh,N2,1,1,,NORTH
612202,Mayiladuthurai,Tamil Nadu,S2,0,1,,SOUTH
425101,Jalgaon,Maharashtra,W2,0,1,,WEST
504304,Boath Buzurg,Telangana,S2,1,1,,SOUTH
571425,Maddur,Karnataka,S2,0,1,,SOUTH
572125,Sira,Karnataka,S2,1,1,,SOUTH
560080,Bangalore,Karnataka,S1,0,1,0,SOUTH
768033,Dunguripali,Orissa,E2,1,1,,EAST
713409,Balagarh,West Bengal,E2,1,1,,EAST
781308,Barpeta,Assam,NE2,1,1,,
365665,Amreli,Gujarat,,0,1,,WEST
483330,Katni,Madhya Pradesh,C2,0,1,,WEST
