pcba_sn_old,pcba_sn_new,component_type,specification,quantity,remark,year,shipment_date
,20120102100023,Liquid Crystal version DIP,SUN / Set Serial Three-Phase / Dual Communication Port Crystal Board V1.0 / DIP,30,,2025,
,20110106101296,Auxiliary board DIP,SUN E 80KW SG 02 HP3 AC Output Board EU V1.5 DIP,5,,2025,
,10100605000111,BMS Accessory Pack,RW-M5.3-Pro RW-M5.3-Pro DEYE LVESS02_R2_V1.1,15,,2025,
,30221608000016,Fire sensors,Fire sensor CPR-ES-CO Kang Erxing CO detector,1,,2025,
,30081001000164,Fuse,FUSE Boyue A381002-350A DC1000V 350A Fast-Blow Fuse,2,,2025,
,30081001000094,Fuse,FUSE FGB-A-3E2A 500V 2A Fast-Blow Tubular Type,3,,2025,
,30220507000021,surge protector,"Surge protector, Sidell DS44S-280 4P surge protector",1,,2025,
,30220534000018,DC circuit breaker,Liangxin NDM3Z-250VM/2341 DC Circuit Breaker 250A DC1000V/Shunt Voltage DC24V,1,,2025,
,30220534000017,AC circuit breaker,Liangxin NDM3-250/4341B AC Circuit Breaker 200A/Shunt Trip Voltage AC220V,1,,2025,
,30220200000038,Large relay,"Large relay, Hongfa HF157F/A220-2Z25FD2+157F-2Z-C1+157F-H1 /",1,,2025,
,30220200000020,Large relay,"Large relay, Hongfa HF157F/24-2Z25FDJ12+157F-2Z-C1+157F-H1, 8A",1,,2025,
,30221505000022,Power indicator light,Power indicator AD16-22D/G/24V φ22mm IP65 Red wave,1,,2025,
,30221505000030,Power indicator light,Power indicator AD16-22D/Y/380V φ22mm IP65 Red wave,1,,2025,
,30221505000023,Power indicator light,Power indicator AD16-22D/R/24V φ22mm IP65 Red wave,1,,2025,
,30221207000007,Dehumidifier,Dehumidifier DC24V 20W JY-760A Intelligent Dehumidifier Co-creation Bracket 1 Installation,1,,2025,
,30320100003556,switch,Opal5-5T-LV-LV 5-port switch. Brand: Dongtu.,1,,2025,
,10100605000085,BMS Accessory Pack,MS-GS215-2H3 MS-GS215-2H3 Neutral Ruipu Blue Hook CB71173204EB 280Ah,1,,2025,
,30081001000135,Fuse,Aideler A831600710 DC1100V 6A Cylindrical 1100V 6A Fast-Blow Fuse,1,,2025,
,10100605000086,BMS Accessory Pack,MS-GS215-2H3 MS-GS215-2H3 Neutral BMU 280Ah Ruipu Lanjun CB71173204EB,3,,2025,
,30221801000138,fan,"Fan, Yongli MGT12024UB-W25A(03) 24V 0.5A, cable length 350mm",1,,2025,
,10100303000028,High voltage standard control box,"Actual unit: BOS-G-PDU-2, 200-1000V, 100A, White, with EVE battery cells.",1,,2025,
,10100604000035,Set of accessories package,"Actual product: GB-LBS-Pro independent high-voltage box + base, DEYE (EVE)",1,,2025,
,10100303000102,High voltage standard control box,"Actual unit: BOS-B-PDU-2, 200-1000V, 168A, white, Ruipu 280Ah",1,,2025,
,10100303000101,High voltage standard control box,Actual unit: HVB750V/100A-EU HVB750V/100A-EU 120-750V 100A DEYE White 2G board Hall effect sensor (discontinued after 3000 sets of 2-meter cable).,2,,2025,
,10100303000085,High voltage standard control box,"Actual unit: BOS-W-PDU-2, 200-1000V, 100A, white, with 2-meter power cable + Zhengli LAE8B5-100Ah.",1,,2025,
,30221105000093,Battery connection cable,BOS-G5.1 UL1332/UL1569 24AWG Black 16PIN FPC Harness 1,2,,2025,
,30221105000531,Battery connection cable,RW-M5.3-Pro UL1569 24AWG Black 20PIN LVESS02 Sampling Cable 2,3,,2025,
,30221105000577,Battery connection cable,SE-G5.1-Pro-B UL1332/1569 24AWG Black 16PIN LVESS02_V1.3 Sampling Cable 1,2,,2025,
,30221105000352,Battery connection cable,GE-F60 UL1332/UL1569 22AWG Black 16PIN FPC Harness 1,2,,2025,
